issuer_code,day_week,violation_code,count
330692,6,53,1
330692,6,64,22
330692,6,69,64
330692,6,70,5
330692,6,71,19
330692,6,74,2
330692,6,84,6
330692,7,10,1
330692,7,11,5
330692,7,13,4
330692,7,14,65
330692,7,16,11
330692,7,17,4
330692,7,19,35
330692,7,20,15
330692,7,40,98
330692,7,46,19
330692,7,47,13
330692,7,48,4
330692,7,50,8
330692,7,51,1
330692,7,53,1
330692,7,64,63
330692,7,70,4
330692,7,71,9
330692,7,74,2
330692,7,98,1
331220,1,10,5
331220,1,11,1
331220,1,13,2
331220,1,14,63
331220,1,16,8
331220,1,17,6
331220,1,18,2
331220,1,19,5
331220,1,20,13
331220,1,21,91
331220,1,31,100
331220,1,37,2
331220,1,38,9
331220,1,40,13
331220,1,42,19
331220,1,46,18
331220,1,47,31
331220,1,48,3
331220,1,50,3
331220,1,53,1
331220,1,64,1
331220,1,69,66
331220,1,70,1
331220,1,71,9
331220,1,79,1
331220,1,82,3
331220,1,84,17
331220,2,8,1
331220,2,10,10
331220,2,13,1
331220,2,14,54
331220,2,16,4
331220,2,17,4
331220,2,19,10
331220,2,20,11
331220,2,21,76
331220,2,31,96
331220,2,37,3
331220,2,38,9
331220,2,40,17
331220,2,42,25
331220,2,43,1
331220,2,46,22
331220,2,47,34
331220,2,48,5
331220,2,50,1
331220,2,53,1
331220,2,64,1
331220,2,69,141
331220,2,70,1
331220,2,71,6
331220,2,74,1
331220,2,82,6
331220,2,84,16
331220,3,8,3
331220,3,10,3
331220,3,13,5
331220,3,14,54
331220,3,16,10
331220,3,17,9
331220,3,18,1
331220,3,19,9
331220,3,20,13
331220,3,21,28
331220,3,31,104
331220,3,38,13
331220,3,40,13
331220,3,42,17
331220,3,46,26
331220,3,47,33
331220,3,48,5
331220,3,51,2
