Issuer_id,Week_AM_14_,Week_AM_38_,Week_AM_69_,Week_AM_21_,Week_AM_37_,Week_AM_20_,Week_AM_31_,Week_AM_16_,Week_AM_46_,Week_AM_40_,Week_AM_47_,Week_AM_19_,Week_AM_42_,Week_AM_71_,Week_AM_17_,Week_PM_14_,Week_PM_38_,Week_PM_69_,Week_PM_21_,Week_PM_37_,Week_PM_20_,Week_PM_31_,Week_PM_16_,Week_PM_46_,Week_PM_40_,Week_PM_47_,Week_PM_19_,Week_PM_42_,Week_PM_71_,Week_PM_17_,Weekend_AM_14_,Weekend_AM_38_,Weekend_AM_69_,Weekend_AM_21_,Weekend_AM_37_,Weekend_AM_20_,Weekend_AM_31_,Weekend_AM_16_,Weekend_AM_46_,Weekend_AM_40_,Weekend_AM_47_,Weekend_AM_19_,Weekend_AM_42_,Weekend_AM_71_,Weekend_AM_17_,Weekend_PM_14_,Weekend_PM_38_,Weekend_PM_69_,Weekend_PM_21_,Weekend_PM_37_,Weekend_PM_20_,Weekend_PM_31_,Weekend_PM_16_,Weekend_PM_46_,Weekend_PM_40_,Weekend_PM_47_,Weekend_PM_19_,Weekend_PM_42_,Weekend_PM_71_,Weekend_PM_17_
351933,4,0,15,0,0,1,10,0,1,1,6,1,1,4,0,299,1,469,0,1,3,704,2,28,55,78,43,171,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348515,204,406,2,434,176,345,3,58,37,69,0,69,0,84,34,19,7,0,25,4,13,0,6,2,10,0,14,0,0,1,2,29,0,0,20,1,0,0,2,3,0,1,0,3,0,0,13,0,0,6,4,0,1,1,1,0,1,0,2,1
357752,0,14,0,2,6,0,0,1,0,0,0,0,1,3,0,215,495,4,0,614,464,7,141,68,147,0,41,2,122,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357804,13,1,20,0,0,0,1,0,0,3,7,1,5,1,0,384,61,301,0,53,19,165,13,10,25,104,14,229,22,17,25,45,36,0,11,2,13,0,0,8,11,4,5,4,7,7,3,3,0,1,0,5,0,1,3,0,1,0,3,2
346357,293,212,9,283,78,89,2,748,90,33,0,52,1,15,11,27,43,0,0,23,10,1,40,41,17,0,32,0,2,5,9,11,2,1,0,0,3,18,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
330551,8,5,0,136,0,264,0,73,0,3,0,0,0,15,7,29,32,0,0,44,166,0,802,15,47,0,8,0,46,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,274,10,0,315,14,1,24,12,24,0,18,7,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895496,2,1,0,0,3,0,0,0,86,1,485,181,0,0,0,1,2,0,0,1,0,1,0,30,0,326,96,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
357801,210,76,783,6,56,15,185,2,4,16,209,16,155,49,32,53,15,137,1,26,6,46,4,2,4,38,8,103,14,6,10,42,17,11,13,7,6,0,0,6,10,5,1,6,3,3,8,2,0,5,1,1,0,0,0,2,0,1,1,0
915560,22,1,0,0,2,2,1,3,633,4,388,14,0,0,1,6,0,0,0,0,0,0,0,57,1,31,7,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0
927487,1,0,1,0,1,0,0,0,4,0,43,43,0,0,0,1,0,0,2,0,0,0,0,43,0,21,64,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,0,0,0
358664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,516,16,0,591,40,17,66,19,38,4,12,22,121,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,236,3,0,176,14,5,18,5,29,0,9,2,56,2
356549,31,256,0,498,141,27,1,44,23,43,0,15,0,24,3,60,312,0,118,106,63,1,73,52,71,0,27,0,19,4,3,36,0,4,4,4,0,3,0,11,0,2,0,7,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
357367,96,13,178,14,12,1,24,2,2,1,57,6,47,6,1,315,108,356,0,73,8,156,28,7,12,95,25,180,25,16,17,36,9,11,8,0,10,1,0,0,10,3,3,2,0,8,5,2,0,2,6,3,0,0,2,0,3,0,1,0
350513,124,36,1,83,13,221,0,821,13,20,1,14,0,13,3,19,6,2,1,4,8,0,64,2,0,0,4,0,2,1,17,65,1,15,8,6,0,24,2,25,0,4,0,13,1,2,6,0,0,3,1,0,0,0,0,0,0,0,0,0
331356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,11,0,0,3,157,73,93,13,38,10,7,0,21,2,21,20,0,0,1,9,1,6,3,9,4,3,0,6,0,42,11,0,0,0,16,4,16,3,16,6,2,0,7,8
347594,128,0,106,0,0,0,16,0,2,8,44,5,11,1,11,282,17,73,0,5,16,73,33,73,24,28,22,25,3,20,7,0,0,0,0,0,0,0,0,2,0,0,0,1,1,9,0,0,0,0,0,0,0,0,3,0,5,0,2,4
942819,15,6,0,228,5,59,7,12,154,142,0,76,0,2,27,7,0,0,0,2,25,4,9,106,59,0,46,0,2,25,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355678,73,42,291,3,6,0,10,0,0,15,102,14,19,0,16,18,10,57,0,6,0,6,0,0,1,30,5,11,0,1,2,16,7,1,3,0,0,0,0,2,15,0,0,0,0,5,8,1,0,6,1,0,1,0,1,1,0,1,0,2
345535,133,0,0,46,0,12,0,38,14,39,1,61,0,3,3,379,0,0,0,0,71,1,33,73,175,0,143,0,7,20,16,0,0,0,0,0,3,1,0,1,0,3,0,1,0,5,0,0,0,0,0,1,0,0,2,0,2,0,0,0
330957,1,0,5,0,0,0,1,0,0,0,0,0,2,0,0,280,39,357,0,18,7,321,1,72,27,37,21,161,22,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346166,574,3,639,0,3,4,164,1,13,7,280,21,124,22,31,63,1,40,0,0,0,36,0,2,1,21,4,21,3,2,173,44,54,2,4,5,13,3,50,3,62,10,1,3,14,7,0,3,0,0,1,0,1,2,2,0,0,0,0,0
346167,545,10,670,0,0,3,66,0,3,26,295,22,110,18,18,70,1,64,0,1,0,10,0,0,4,38,2,43,4,3,5,6,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355316,25,30,3,171,18,24,0,8,2,46,0,3,0,24,3,39,46,4,14,31,15,0,3,1,24,0,2,0,23,6,18,22,0,3,1,13,0,10,2,72,0,3,0,55,4,4,9,0,0,3,1,0,3,0,10,0,0,0,10,0
341964,521,13,903,0,0,2,74,2,1,35,195,17,82,0,20,39,0,79,0,0,0,19,0,0,2,12,1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,0,3,0,0,0,0,0,1,0,1
346204,712,0,1,66,0,3,26,53,35,18,218,75,0,6,1,26,0,1,0,0,9,5,7,5,1,9,3,0,0,0,36,0,0,0,0,0,0,1,2,0,5,7,0,0,7,11,0,0,0,0,0,1,2,3,2,0,7,0,0,7
358928,27,240,0,191,216,39,0,13,21,79,0,17,0,17,2,36,261,0,60,286,48,0,16,25,97,0,23,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349904,630,7,527,0,0,7,269,0,18,26,194,18,73,26,18,45,1,31,0,0,0,45,0,5,2,17,4,12,2,2,13,15,13,0,2,0,13,0,2,4,12,1,3,4,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
356276,48,281,5,699,197,46,7,46,38,106,0,19,0,27,2,25,223,12,105,100,70,10,54,30,79,0,18,0,18,5,0,4,0,6,4,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
