Issuer_id,1_1_,1_2_,1_3_,1_4_,1_5_,1_6_,2_1_,2_2_,2_3_,2_4_,2_5_,2_6_,3_1_,3_2_,3_3_,3_4_,3_5_,3_6_,4_1_,4_2_,4_3_,4_4_,4_5_,4_6_,5_1_,5_2_,5_3_,5_4_,5_5_,5_6_,6_1_,6_2_,6_3_,6_4_,6_5_,6_6_,7_1_,7_2_,7_3_,7_4_,7_5_,7_6_
347581,0,39,4,49,79,0,8,11,4,38,72,0,0,16,1,14,35,0,0,25,4,27,37,0,0,18,1,14,41,0,0,1,0,1,1,0,0,0,0,0,0,0
929025,0,69,26,0,1,0,0,110,55,5,0,0,0,93,83,0,0,0,1,97,48,0,2,0,0,60,28,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0
354150,0,217,68,35,210,0,0,233,101,31,173,0,0,166,79,17,113,0,0,166,91,20,127,1,0,167,72,21,152,0,0,64,25,21,111,0,0,0,0,0,0,0
897937,0,1,2,0,0,0,102,119,73,1,7,0,3,143,145,1,17,0,44,40,42,4,7,0,63,95,90,0,7,0,0,42,50,2,32,0,1,0,0,0,0,0
341240,0,194,41,68,113,0,0,214,58,72,111,1,0,203,40,63,83,0,0,155,32,63,97,1,0,153,28,54,63,0,0,0,0,0,0,0,0,37,6,0,9,0
940460,0,19,110,0,0,0,0,40,153,0,0,0,0,45,131,0,0,0,0,25,77,0,0,0,0,36,73,0,0,0,0,2,3,0,0,0,0,1,1,0,0,0
350307,181,134,20,17,77,0,176,177,32,13,103,0,8,165,34,34,138,0,148,213,25,23,121,0,167,254,29,32,105,0,0,0,0,0,0,0,0,0,0,0,0,0
945266,2,100,263,1,0,0,5,87,242,0,0,0,0,72,214,0,0,0,2,44,241,1,1,0,0,16,129,0,2,0,0,2,0,0,0,0,0,0,5,0,0,0
932402,0,188,270,15,1,0,3,165,302,4,3,0,1,228,305,6,2,0,2,165,254,10,0,0,1,184,290,3,0,0,0,2,22,0,0,0,0,1,3,0,0,0
330068,0,71,31,30,116,0,0,93,34,47,128,0,0,115,30,33,149,0,0,83,27,33,93,0,0,93,25,32,107,0,0,8,1,7,10,0,0,0,0,0,0,0
330069,0,80,50,22,218,0,0,87,81,11,189,0,0,93,67,19,197,0,0,75,78,12,187,0,0,109,81,21,221,0,0,0,0,0,0,0,0,0,0,0,0,0
927706,0,7,157,2,1,0,0,24,86,1,0,0,0,12,121,1,0,0,0,4,81,0,1,0,0,20,108,2,0,0,0,7,3,0,0,0,0,7,1,0,0,0
343930,117,88,17,12,67,0,127,111,20,26,82,0,10,94,14,18,71,0,94,109,16,20,59,0,107,84,6,6,68,0,0,0,0,0,0,0,0,0,0,0,0,0
345551,54,211,58,0,43,3,78,163,57,1,37,8,1,175,62,0,31,8,115,196,62,0,42,8,29,167,49,0,26,8,0,172,37,0,21,4,0,5,3,0,0,0
346045,47,61,42,26,76,0,77,108,89,46,102,0,24,118,97,44,79,0,40,62,59,44,68,0,29,51,46,14,42,0,0,0,0,0,1,0,0,0,1,0,0,0
345557,13,57,8,3,117,0,6,37,14,4,48,0,3,43,19,3,86,0,2,58,10,3,139,0,9,56,9,2,106,0,0,1,1,1,7,0,0,29,4,0,4,0
358647,0,107,16,154,159,0,0,146,40,190,195,0,0,145,67,103,166,0,9,179,53,127,164,0,0,139,72,144,152,0,0,22,2,14,20,0,0,0,0,0,0,0
351315,153,168,15,44,78,0,148,139,13,58,107,0,0,222,30,59,115,0,140,180,18,52,87,0,152,153,24,35,90,0,0,0,0,0,0,0,0,0,0,0,0,0
357345,0,114,18,0,112,0,0,177,42,0,127,0,0,135,43,0,113,0,0,186,32,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347576,0,57,1,5,25,1,0,54,3,2,19,0,0,58,1,1,20,0,0,60,1,9,29,0,0,78,3,6,34,0,0,0,0,0,0,0,0,34,10,0,5,0
354048,0,97,16,35,41,5,0,202,23,13,32,0,0,141,23,25,39,6,0,166,28,26,45,4,0,213,25,21,28,3,0,0,0,0,0,0,0,0,0,0,0,0
358939,0,7,1,35,40,0,0,52,6,265,169,0,0,49,5,191,119,0,0,47,6,231,157,0,0,78,0,218,155,0,0,34,8,242,226,0,0,0,0,0,0,0
355231,5,110,16,104,225,0,13,79,43,87,203,0,1,63,34,60,200,0,1,88,20,61,143,0,7,102,27,84,207,0,0,0,0,0,0,0,0,23,0,0,1,0
355135,97,119,52,13,78,0,211,111,56,16,111,0,113,128,87,6,113,0,135,144,111,13,116,0,173,157,72,9,82,0,0,0,0,0,0,0,0,0,0,0,0,0
911170,0,22,48,0,0,0,0,34,99,0,0,0,0,30,69,0,0,0,0,92,73,0,0,0,0,95,112,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
357355,0,124,32,23,119,0,0,156,69,18,148,0,0,117,35,21,121,0,0,138,45,25,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330924,0,160,45,8,99,0,0,142,85,4,89,0,0,155,60,6,113,0,0,167,71,6,129,0,0,204,111,13,127,0,0,62,5,8,43,0,0,0,0,0,0,0
343455,9,126,25,14,87,0,3,127,29,12,95,7,2,99,25,7,57,11,16,88,20,5,69,10,9,124,30,5,81,14,0,101,14,9,61,0,0,150,3,0,46,1
907041,7,44,329,0,24,0,2,30,296,0,42,1,10,34,317,2,27,0,1,35,267,0,41,0,2,58,260,0,50,0,0,0,3,0,0,0,0,4,5,0,2,0
357702,153,70,30,53,136,0,151,89,26,62,133,0,64,82,21,58,154,0,116,75,44,45,130,0,124,77,31,37,104,0,0,0,0,0,0,0,0,0,0,0,0,0
332944,3,152,10,1,38,4,4,147,14,0,49,0,2,115,18,0,51,11,13,125,16,0,43,7,5,154,24,0,44,6,0,234,24,3,111,12,0,37,2,0,3,0
356219,33,171,53,47,96,0,9,219,76,51,95,0,0,149,46,39,80,0,15,246,53,32,80,0,0,112,30,5,26,0,0,0,0,0,0,0,0,364,38,0,26,0
927636,0,95,163,0,1,0,1,103,262,1,0,0,0,122,271,2,2,0,1,117,194,2,2,0,0,105,162,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0
358868,50,29,31,102,98,0,81,79,47,112,99,0,0,97,34,113,91,0,54,85,32,131,127,0,66,70,25,117,123,0,1,1,0,20,27,0,0,0,0,0,0,0
345388,1,108,34,25,128,0,1,114,57,18,140,0,0,89,59,12,149,0,0,89,41,10,132,0,0,80,33,12,110,0,0,8,1,3,9,0,0,6,0,0,17,0
356510,3,138,38,25,235,1,3,171,60,39,250,0,0,150,65,38,257,0,0,147,52,33,217,0,0,164,63,26,209,0,4,109,51,17,167,0,0,46,11,0,25,0
358929,0,9,0,32,58,0,1,55,2,216,200,0,0,99,5,126,114,0,0,75,4,231,175,0,0,62,8,195,199,0,0,23,3,253,305,0,0,0,0,0,0,0
357716,0,401,23,6,50,0,0,459,39,5,69,0,0,418,30,2,59,0,0,457,34,3,68,0,0,467,31,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
