issuer_code,day_week,day_period,violation_code,count
331510,3,PM,40,27
331510,3,PM,46,23
331510,3,PM,69,6
331510,3,PM,71,5
331510,4,PM,14,194
331510,4,PM,16,98
331510,4,PM,17,21
331510,4,PM,19,32
331510,4,PM,20,112
331510,4,PM,31,43
331510,4,PM,37,10
331510,4,PM,38,10
331510,4,PM,40,46
331510,4,PM,42,1
331510,4,PM,46,11
331510,4,PM,69,2
331510,4,PM,71,11
331510,5,PM,14,207
331510,5,PM,16,96
331510,5,PM,17,14
331510,5,PM,19,38
331510,5,PM,20,103
331510,5,PM,31,53
331510,5,PM,37,7
331510,5,PM,38,11
331510,5,PM,40,43
331510,5,PM,42,1
331510,5,PM,46,20
331510,5,PM,69,6
331510,5,PM,71,6
331510,6,PM,14,14
331510,6,PM,16,3
331510,6,PM,17,7
331510,6,PM,19,3
331510,6,PM,20,4
331510,6,PM,37,1
331510,6,PM,40,2
331510,6,PM,71,1
333163,1,AM,14,136
333163,1,AM,16,21
333163,1,AM,17,17
333163,1,AM,19,18
333163,1,AM,20,25
333163,1,AM,21,2
333163,1,AM,31,73
333163,1,AM,40,39
333163,1,AM,46,54
333163,1,AM,47,5
333163,1,AM,71,26
333163,1,PM,14,3
333163,1,PM,16,5
333163,1,PM,17,5
333163,1,PM,19,5
333163,1,PM,20,28
333163,1,PM,38,1
333163,1,PM,40,7
333163,1,PM,46,26
333163,1,PM,71,3
333163,2,AM,14,114
333163,2,AM,16,29
333163,2,AM,17,41
333163,2,AM,19,26
333163,2,AM,20,21
333163,2,AM,21,5
333163,2,AM,31,69
333163,2,AM,40,44
333163,2,AM,46,51
333163,2,AM,47,12
333163,2,AM,71,22
333163,2,PM,14,15
333163,2,PM,16,5
333163,2,PM,17,4
333163,2,PM,19,2
333163,2,PM,20,2
333163,2,PM,31,7
333163,2,PM,40,7
333163,2,PM,46,23
333163,2,PM,71,1
333163,3,AM,14,103
333163,3,AM,16,29
333163,3,AM,17,29
333163,3,AM,19,21
333163,3,AM,20,14
333163,3,AM,31,55
333163,3,AM,40,38
333163,3,AM,46,63
333163,3,AM,47,5
333163,3,AM,71,29
333163,3,PM,14,1
333163,3,PM,17,6
333163,3,PM,19,1
333163,3,PM,20,1
333163,3,PM,40,8
333163,3,PM,46,4
333163,3,PM,71,1
333163,4,AM,14,71
333163,4,AM,16,17
333163,4,AM,17,20
333163,4,AM,19,10
333163,4,AM,20,12
333163,4,AM,21,2
333163,4,AM,31,38
333163,4,AM,40,15
333163,4,AM,46,43
333163,4,AM,47,6
333163,4,AM,71,18
333163,5,AM,14,93
333163,5,AM,16,25
333163,5,AM,17,27
333163,5,AM,19,12
333163,5,AM,20,15
333163,5,AM,21,2
333163,5,AM,31,40
333163,5,AM,40,27
333163,5,AM,46,33
333163,5,AM,47,9
333163,5,AM,71,19
333163,5,PM,16,3
333163,5,PM,19,1
333163,5,PM,20,4
333163,5,PM,40,2
333163,5,PM,46,7
333163,6,AM,14,26
333163,6,AM,16,22
333163,6,AM,17,20
333163,6,AM,19,22
333163,6,AM,20,13
333163,6,AM,31,19
333163,6,AM,40,14
333163,6,AM,46,33
333163,6,AM,47,2
333163,6,AM,71,12
333163,6,PM,14,20
333163,6,PM,16,8
333163,6,PM,17,14
333163,6,PM,19,8
333163,6,PM,20,6
333163,6,PM,31,17
333163,6,PM,40,12
333163,6,PM,46,19
333163,6,PM,71,1
333163,7,AM,14,32
333163,7,AM,17,27
333163,7,AM,19,18
333163,7,AM,20,8
333163,7,AM,40,62
333163,7,AM,46,41
333163,7,AM,71,6
333163,7,PM,14,14
333163,7,PM,17,7
333163,7,PM,19,27
333163,7,PM,20,8
333163,7,PM,40,28
333163,7,PM,46,24
333163,7,PM,71,2
333386,1,AM,14,38
333386,1,AM,16,16
333386,1,AM,17,2
333386,1,AM,19,14
333386,1,AM,20,69
333386,1,AM,21,394
333386,1,AM,38,19
333386,1,AM,40,47
333386,1,AM,46,14
333386,1,AM,71,12
333386,1,PM,14,1
333386,1,PM,20,3
333386,1,PM,21,13
333386,2,AM,14,29
333386,2,AM,16,12
333386,2,AM,17,6
333386,2,AM,19,10
333386,2,AM,20,62
333386,2,AM,21,444
333386,2,AM,38,12
333386,2,AM,40,56
333386,2,AM,46,24
333386,2,AM,71,17
333386,2,PM,14,5
333386,2,PM,16,1
333386,2,PM,19,1
333386,2,PM,21,19
333386,2,PM,46,5
333386,2,PM,71,1
333386,3,AM,14,31
333386,3,AM,16,5
333386,3,AM,17,2
333386,3,AM,19,10
333386,3,AM,20,56
333386,3,AM,21,195
333386,3,AM,37,1
333386,3,AM,38,19
333386,3,AM,40,37
333386,3,AM,46,15
333386,3,AM,71,26
333386,3,PM,19,2
333386,3,PM,20,1
333386,3,PM,40,3
333386,4,AM,14,31
333386,4,AM,16,14
333386,4,AM,17,2
333386,4,AM,19,11
333386,4,AM,20,35
333386,4,AM,21,319
333386,4,AM,37,1
333386,4,AM,38,6
333386,4,AM,40,38
333386,4,AM,46,23
333386,4,AM,71,11
333386,4,PM,14,1
333386,4,PM,16,1
333386,4,PM,21,12
333386,4,PM,38,1
333386,4,PM,40,1
333386,4,PM,46,1
333386,5,AM,14,29
333386,5,AM,16,5
333386,5,AM,17,4
333386,5,AM,19,10
333386,5,AM,20,56
333386,5,AM,21,329
333386,5,AM,38,6
333386,5,AM,40,38
333386,5,AM,46,21
333386,5,AM,71,13
333386,5,PM,14,2
333386,5,PM,21,13
333386,5,PM,46,1
333386,6,AM,14,16
333386,6,AM,16,4
333386,6,AM,17,2
333386,6,AM,19,8
333386,6,AM,20,50
333386,6,AM,21,176
333386,6,AM,38,92
333386,6,AM,40,32
333386,6,AM,46,5
333386,6,AM,71,7
333386,6,PM,14,2
333386,6,PM,20,5
333386,6,PM,38,2
333386,6,PM,40,7
333386,6,PM,46,3
333733,1,PM,14,161
333733,1,PM,16,9
333733,1,PM,17,14
333733,1,PM,19,1
333733,1,PM,20,26
333733,1,PM,31,76
333733,1,PM,38,5
333733,1,PM,40,18
333733,1,PM,42,73
333733,1,PM,46,5
333733,1,PM,47,36
333733,1,PM,69,111
333733,1,PM,71,4
333733,2,PM,14,176
333733,2,PM,16,7
333733,2,PM,17,34
333733,2,PM,20,20
333733,2,PM,31,70
333733,2,PM,40,10
333733,2,PM,42,59
333733,2,PM,46,13
333733,2,PM,47,51
333733,2,PM,69,128
333733,2,PM,71,8
333733,3,PM,14,202
333733,3,PM,16,4
333733,3,PM,17,22
333733,3,PM,20,16
333733,3,PM,31,66
333733,3,PM,38,2
333733,3,PM,40,12
333733,3,PM,42,69
333733,3,PM,46,9
333733,3,PM,47,33
333733,3,PM,69,103
333733,3,PM,71,8
333733,4,PM,14,173
333733,4,PM,16,4
333733,4,PM,17,23
333733,4,PM,20,17
333733,4,PM,31,82
333733,4,PM,37,1
333733,4,PM,38,5
333733,4,PM,40,14
333733,4,PM,42,58
333733,4,PM,46,4
333733,4,PM,47,35
333733,4,PM,69,104
333733,4,PM,71,3
333733,5,PM,14,203
333733,5,PM,16,7
333733,5,PM,17,23
333733,5,PM,20,24
333733,5,PM,31,60
333733,5,PM,40,8
333733,5,PM,42,71
333733,5,PM,46,3
333733,5,PM,47,38
333733,5,PM,69,106
333733,5,PM,71,3
333733,6,PM,14,66
333733,6,PM,16,7
333733,6,PM,17,7
333733,6,PM,20,3
333733,6,PM,31,14
333733,6,PM,37,19
333733,6,PM,38,41
333733,6,PM,40,14
333733,6,PM,42,7
333733,6,PM,46,5
333733,6,PM,47,8
333733,6,PM,69,12
